Sanidad,sub,w.length,prom
HLB+,19,799.063,56.87428571
HLB+,19,799.555,56.87857143
HLB+,19,800.046,56.88714286
HLB+,19,800.537,56.89285714
HLB+,20,780.425,63.36875
HLB+,20,780.915,63.38125
HLB+,20,781.405,63.38875
HLB+,20,781.894,63.40125
HLB+,20,782.384,63.41625
HLB+,20,782.874,63.42875
HLB+,20,783.364,63.4425
HLB+,20,783.854,63.45125
HLB+,20,784.344,63.4625
HLB+,20,784.834,63.47625
HLB+,20,785.324,63.4875
HLB+,20,785.814,63.49875
HLB+,20,786.304,63.51125
HLB+,20,786.794,63.52125
HLB+,20,787.285,63.535
HLB+,20,787.775,63.54625
HLB+,20,788.265,63.55625
HLB+,20,788.756,63.56875
HLB+,20,789.246,63.57875
HLB+,20,789.736,63.58875
HLB+,20,790.227,63.6
HLB+,20,790.717,63.6125
HLB+,20,791.208,63.6225
HLB+,20,791.699,63.63125
HLB+,20,792.189,63.64125
HLB+,20,792.68,63.65125
HLB+,20,793.171,63.66
HLB+,20,793.662,63.6725
HLB+,20,794.152,63.68125
HLB+,20,794.643,63.69125
HLB+,20,795.134,63.7
HLB+,20,795.625,63.71
HLB+,20,796.116,63.71625
HLB+,20,796.607,63.725
HLB+,20,797.098,63.7325
HLB+,20,797.59,63.74
HLB+,20,798.081,63.74875
HLB+,20,798.572,63.7575
HLB+,20,799.063,63.76625
HLB+,20,799.555,63.77375
HLB+,20,800.046,63.78
HLB+,20,800.537,63.78875
HLB+,21,780.425,66.23375
HLB+,21,780.915,66.2475
HLB+,21,781.405,66.25875
HLB+,21,781.894,66.2725
HLB+,21,782.384,66.2875
HLB+,21,782.874,66.3
HLB+,21,783.364,66.3125
HLB+,21,783.854,66.32625
HLB+,21,784.344,66.34
HLB+,21,784.834,66.35375
HLB+,21,785.324,66.36625
HLB+,21,785.814,66.38
HLB+,21,786.304,66.3925
HLB+,21,786.794,66.4075
HLB+,21,787.285,66.42375
HLB+,21,787.775,66.4375
HLB+,21,788.265,66.44875
HLB+,21,788.756,66.45875
HLB+,21,789.246,66.47375
HLB+,21,789.736,66.48625
HLB+,21,790.227,66.49875
HLB+,21,790.717,66.5125
HLB+,21,791.208,66.52625
HLB+,21,791.699,66.5375
HLB+,21,792.189,66.54875
